2020-07-24 21:54:14.709 [main] INFO  z.o2o.service.serviceImp.LocalAuthServiceImplTest - Starting LocalAuthServiceImplTest on dingzuoangdembp.lan with PID 7102 (started by zuoyangding in /Users/zuoyangding/IdeaProjects/o2o)
2020-07-24 21:54:14.723 [main] INFO  z.o2o.service.serviceImp.LocalAuthServiceImplTest - The following profiles are active: dev
2020-07-24 21:54:18.320 [main] INFO  z.o2o.service.serviceImp.LocalAuthServiceImplTest - Started LocalAuthServiceImplTest in 4.029 seconds (JVM running for 5.697)
2020-07-24 21:55:15.786 [main] INFO  z.o2o.service.serviceImp.LocalAuthServiceImplTest - Starting LocalAuthServiceImplTest on dingzuoangdembp.lan with PID 7108 (started by zuoyangding in /Users/zuoyangding/IdeaProjects/o2o)
2020-07-24 21:55:15.786 [main] INFO  z.o2o.service.serviceImp.LocalAuthServiceImplTest - The following profiles are active: dev
2020-07-24 21:55:18.331 [main] INFO  z.o2o.service.serviceImp.LocalAuthServiceImplTest - Started LocalAuthServiceImplTest in 2.916 seconds (JVM running for 4.42)
2020-07-24 22:10:52.587 [main] INFO  z.o2o.service.serviceImp.LocalAuthServiceImplTest - Starting LocalAuthServiceImplTest on dingzuoangdembp.lan with PID 7126 (started by zuoyangding in /Users/zuoyangding/IdeaProjects/o2o)
2020-07-24 22:10:52.588 [main] INFO  z.o2o.service.serviceImp.LocalAuthServiceImplTest - The following profiles are active: dev
2020-07-24 22:10:55.026 [main] INFO  z.o2o.service.serviceImp.LocalAuthServiceImplTest - Started LocalAuthServiceImplTest in 2.869 seconds (JVM running for 4.308)
2020-07-24 22:19:30.379 [main] INFO  z.o2o.service.serviceImp.LocalAuthServiceImplTest - Starting LocalAuthServiceImplTest on dingzuoangdembp.lan with PID 7138 (started by zuoyangding in /Users/zuoyangding/IdeaProjects/o2o)
2020-07-24 22:19:30.380 [main] INFO  z.o2o.service.serviceImp.LocalAuthServiceImplTest - The following profiles are active: dev
2020-07-24 22:19:32.825 [main] INFO  z.o2o.service.serviceImp.LocalAuthServiceImplTest - Started LocalAuthServiceImplTest in 2.831 seconds (JVM running for 4.186)
2020-07-24 22:27:05.123 [main] INFO  z.o2o.service.serviceImp.LocalAuthServiceImplTest - Starting LocalAuthServiceImplTest on dingzuoangdembp.lan with PID 7175 (started by zuoyangding in /Users/zuoyangding/IdeaProjects/o2o)
2020-07-24 22:27:05.124 [main] INFO  z.o2o.service.serviceImp.LocalAuthServiceImplTest - The following profiles are active: dev
2020-07-24 22:27:07.434 [main] INFO  z.o2o.service.serviceImp.LocalAuthServiceImplTest - Started LocalAuthServiceImplTest in 2.672 seconds (JVM running for 4.124)
